report_date,year,iso_week,composite_benchmark_usd_mt,indonesia_fob_usd_mt,indonesia_domestic_idr_kg,sri_lanka_fob_usd_mt,sri_lanka_domestic_lkr_mt,india_fob_usd_mt,india_domestic_inr_mt,spread_sri_lanka_vs_indonesia_usd,spread_india_vs_indonesia_usd,usd_idr_fx_rate,usd_lkr_fx_rate,usd_inr_fx_rate,bulletin_ref_id,extraction_method,data_quality_status
2021-08-13,2021,32,931.0,918.2,11628.0,1018.5,190528.0,856.3,57594.0,100.3,-61.9,14388.0,205.2,74.19,ICC-WPB-2021-W32,DIGITAL_PDFPLUMBER,APPROVED
2021-08-20,2021,33,932.6,921.9,11673.0,1020.5,190659.0,855.5,57728.0,98.6,-66.4,14377.0,204.9,74.44,ICC-WPB-2021-W33,DIGITAL_PDFPLUMBER,APPROVED
2021-08-27,2021,34,939.8,930.2,11778.0,1029.4,185907.0,859.7,58181.0,99.2,-70.5,14360.0,197.9,74.62,ICC-WPB-2021-W34,DIGITAL_PDFPLUMBER,APPROVED
2021-09-03,2021,35,952.4,943.6,11916.0,1040.5,191526.0,873.2,59054.0,96.9,-70.4,14295.0,201.5,74.45,ICC-WPB-2021-W35,OCR_REPAIRED,AUTO_REPAIRED
2021-09-10,2021,36,956.2,945.1,12021.0,1048.2,193461.0,875.3,59131.0,103.1,-69.8,14395.0,201.9,74.35,ICC-WPB-2021-W36,DIGITAL_PDFPLUMBER,APPROVED
2021-09-17,2021,37,955.4,946.1,12033.0,1046.3,192312.0,873.9,58796.0,100.2,-72.2,14392.0,201.1,74.06,ICC-WPB-2021-W37,DIGITAL_PDFPLUMBER,APPROVED
2021-09-24,2021,38,968.3,958.5,12219.0,1058.7,192093.0,887.8,59898.0,100.2,-70.7,14401.0,198.3,74.15,ICC-WPB-2021-W38,DIGITAL_PDFPLUMBER,APPROVED
2021-10-01,2021,39,974.0,965.1,12260.0,1067.0,193348.0,890.0,60248.0,101.9,-75.1,14338.0,197.9,74.38,ICC-WPB-2021-W39,DIGITAL_PDFPLUMBER,APPROVED
2021-10-08,2021,40,973.9,963.1,12245.0,1070.8,196356.0,887.7,60044.0,107.7,-75.4,14353.0,200.2,74.34,ICC-WPB-2021-W40,DIGITAL_PDFPLUMBER,APPROVED
2021-10-15,2021,41,976.1,967.4,12395.0,1072.1,200741.0,888.7,60232.0,104.7,-78.7,14456.0,204.4,74.48,ICC-WPB-2021-W41,DIGITAL_PDFPLUMBER,APPROVED
2021-10-22,2021,42,974.5,964.9,12322.0,1074.4,199144.0,884.2,59977.0,109.5,-80.7,14413.0,202.3,74.58,ICC-WPB-2021-W42,OCR_VERIFIED,APPROVED
2021-10-29,2021,43,972.0,962.0,12313.0,1072.8,195675.0,881.2,59882.0,110.8,-80.8,14452.0,199.1,74.74,ICC-WPB-2021-W43,DIGITAL_PDFPLUMBER,APPROVED
2021-11-05,2021,44,972.0,963.4,12314.0,1072.6,199664.0,880.1,59703.0,109.2,-83.3,14429.0,203.2,74.62,ICC-WPB-2021-W44,DIGITAL_PDFPLUMBER,APPROVED
2021-11-12,2021,45,959.7,950.6,12135.0,1062.4,185242.0,866.0,58793.0,111.8,-84.6,14436.0,190.5,74.8,ICC-WPB-2021-W45,DIGITAL_PDFPLUMBER,APPROVED
2021-11-19,2021,46,949.3,938.9,12005.0,1052.5,196928.0,856.4,58020.0,113.6,-82.5,14483.0,204.6,74.73,ICC-WPB-2021-W46,OCR_VERIFIED,APPROVED
2021-11-26,2021,47,944.2,934.6,11894.0,1047.6,186253.0,850.3,57202.0,113.0,-84.3,14424.0,194.5,74.26,ICC-WPB-2021-W47,OCR_VERIFIED,APPROVED
2021-12-03,2021,48,938.0,927.4,11819.0,1041.8,189694.0,844.7,57008.0,114.4,-82.7,14459.0,199.3,74.55,ICC-WPB-2021-W48,DIGITAL_PDFPLUMBER,APPROVED
2021-12-10,2021,49,938.2,928.7,11822.0,1043.2,187494.0,842.7,57042.0,114.5,-86.0,14440.0,196.7,74.79,ICC-WPB-2021-W49,DIGITAL_PDFPLUMBER,APPROVED
2021-12-17,2021,50,932.4,922.2,11735.0,1038.1,186017.0,837.0,56442.0,115.9,-85.2,14448.0,196.2,74.56,ICC-WPB-2021-W50,DIGITAL_PDFPLUMBER,APPROVED
2021-12-24,2021,51,924.8,912.5,11604.0,1031.5,192819.0,830.4,56318.0,119.0,-82.1,14460.0,204.8,75.05,ICC-WPB-2021-W51,DIGITAL_PDFPLUMBER,APPROVED
2021-12-31,2021,52,933.7,921.7,11762.0,1046.5,190439.0,832.9,56708.0,124.8,-88.8,14490.0,199.1,75.32,ICC-WPB-2021-W52,DIGITAL_PDFPLUMBER,APPROVED
2022-01-07,2022,1,930.3,920.0,11717.0,1042.2,192344.0,828.6,56355.0,122.2,-91.4,14465.0,202.0,75.28,ICC-WPB-2022-W01,DIGITAL_PDFPLUMBER,APPROVED
2022-01-14,2022,2,933.5,920.4,11791.0,1050.1,192692.0,829.9,56213.0,129.7,-90.5,14550.0,200.7,74.96,ICC-WPB-2022-W02,DIGITAL_PDFPLUMBER,APPROVED
2022-01-21,2022,3,922.5,911.4,11588.0,1036.2,191700.0,819.8,55796.0,124.8,-91.6,14460.0,202.6,75.42,ICC-WPB-2022-W03,OCR_REPAIRED,AUTO_REPAIRED
2022-01-28,2022,4,919.6,908.3,11574.0,1033.5,189832.0,817.1,55371.0,125.2,-91.2,14498.0,201.2,75.12,ICC-WPB-2022-W04,OCR_VERIFIED,APPROVED
2022-02-04,2022,5,921.4,909.9,11593.0,1037.8,186243.0,816.5,55267.0,127.9,-93.4,14493.0,196.5,75.04,ICC-WPB-2022-W05,DIGITAL_PDFPLUMBER,APPROVED
2022-02-11,2022,6,915.3,903.4,11571.0,1033.0,192844.0,809.6,54720.0,129.6,-93.8,14584.0,204.5,75.0,ICC-WPB-2022-W06,DIGITAL_PDFPLUMBER,APPROVED
2022-02-18,2022,7,918.4,907.1,11586.0,1035.8,188498.0,812.2,55003.0,128.7,-94.9,14535.0,199.3,75.12,ICC-WPB-2022-W07,DIGITAL_PDFPLUMBER,APPROVED
2022-02-25,2022,8,917.0,904.9,11589.0,1033.7,184588.0,812.3,55018.0,128.8,-92.6,14579.0,195.6,75.13,ICC-WPB-2022-W08,DIGITAL_PDFPLUMBER,APPROVED
2022-03-04,2022,9,916.7,904.9,11504.0,1033.0,188223.0,812.3,55150.0,128.1,-92.6,14472.0,199.6,75.31,ICC-WPB-2022-W09,DIGITAL_PDFPLUMBER,APPROVED
2022-03-11,2022,10,914.7,903.2,11547.0,1030.3,194078.0,810.7,55051.0,127.1,-92.5,14557.0,206.4,75.34,ICC-WPB-2022-W10,DIGITAL_PDFPLUMBER,APPROVED
2022-03-18,2022,11,929.7,917.6,11784.0,1048.0,195624.0,823.5,56015.0,130.4,-94.1,14592.0,204.2,75.34,ICC-WPB-2022-W11,DIGITAL_PDFPLUMBER,APPROVED
2022-03-25,2022,12,932.1,920.1,11797.0,1052.2,192440.0,824.0,56165.0,132.1,-96.1,14562.0,200.0,75.49,ICC-WPB-2022-W12,OCR_VERIFIED,APPROVED
2022-04-01,2022,13,926.9,916.0,11778.0,1046.6,191320.0,818.2,55889.0,130.6,-97.8,14613.0,200.0,75.71,ICC-WPB-2022-W13,DIGITAL_PDFPLUMBER,APPROVED
